 fin_yr, gccsa_code, gccsa_name, homeless_m_10_19,homeless_m_30_39, homeless_m_60_plus, homeless_m_0_9, homeless_m_40_49, homeless_m_50_59, homeless_m_20_29,homeless_m_tot, homeless_f_0_9, homeless_f_10_19, homeless_f_50_59, homeless_f_40_49, homeless_f_20_29, homeless_f_30_39, homeless_f_60_plus,homeless_f_total,homeless_total
2018-19,1GSYD,Greater Sydney,928,775,239,975,925,564,842,5248,931,1196,309,727,1354,1045,135,5697,10945
2018-19,1RNSW,Rest of NSW,1518,1153,217,1363,1126,628,1409,7414,1356,2195,535,1164,2255,1546,175,9226,16640
2018-19,2GMEL,Greater Melbourne,1357,1958,591,1627,2000,1053,1802,10388,1483,1518,741,1474,2567,2214,474,10471,20859
2018-19,2RVIC,Rest of Vic.,935,1097,286,767,1003,515,1293,5896,724,1181,371,719,1727,1084,168,5974,11870
2018-19,3GBRI,Greater Brisbane,556,444,66,889,441,177,456,3029,1020,885,162,441,853,782,32,4175,7204
2018-19,3RQLD,Rest of Qld,993,982,200,1277,882,436,933,5703,1213,1161,371,810,1339,1190,144,6228,11931
2018-19,4GADE,Greater Adelaide,390,504,69,320,467,251,528,2529,292,569,160,421,872,642,45,3001,5530
2018-19,4RSAU,Rest of SA,152,239,33,63,189,115,224,1015,70,201,68,171,319,235,24,1088,2103
2018-19,5GPER,Greater Perth,358,455,90,494,482,242,304,2425,449,490,142,409,629,621,15,2755,5180
2018-19,5RWAU,Rest of WA,185,176,43,256,172,113,148,1093,238,272,114,265,394,385,27,1695,2788
2018-19,6GHOB,Greater Hobart,130,155,34,105,134,87,162,807,102,162,46,101,200,146,24,781,1588
2018-19,6RTAS,Rest of Tas.,155,137,27,93,160,74,174,820,89,233,39,112,224,174,18,889,1709
2018-19,7GDAR,Greater Darwin,64,46,43,67,63,77,47,407,76,117,30,81,117,113,7,541,948
2018-19,7RNTE,Rest of NT,66,137,26,160,136,83,90,698,178,147,92,179,225,215,25,1061,1759
2018-19,8ACTE,Australian Capital Territory,107,79,11,191,61,29,95,573,158,158,18,68,174,100,0,676,1249
2018-19,9OTER,Other Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
