spks_other_lang_thai_p, spks_other_lang_vietnamese_p, spks_othr_lang_afrikaans_p, spks_othr_lang_macedonian_p, sa4_name16, tot_p, spks_othr_lang_aus_ind_lang_p, spks_other_lang_tot_p, spks_othr_lang_korean_p, spks_othr_lang_croatian_p, spks_other_lang_spanish_p, spks_other_lang_other_p, spks_othr_lang_polish_p, sp_oth_lan_indo_ary_lan_tot_p, spks_othr_lang_french_p, spks_eng_on_p, sp_oth_la_se_as_au_la_tot_p, spks_othr_lang_arabic_p, spks_other_lang_maltese_p, spks_othr_lang_dutch_p, spks_other_lang_tamil_p, spks_other_lang_italian_p, spks_other_lang_serbian_p, spks_othr_lan_chin_lan_tot_p, spks_other_lang_russian_p, spks_other_lang_turkish_p, sa4_code16, spks_othr_lang_greek_p, spks_other_lang_samoan_p, spks_othr_lang_german_p, spks_othr_lang_japanese_p
276,239,165,957,"Capital Region",231748,74,13821,176,479,507,2123,226,1755,439,197098,865,540,116,337,79,1105,377,1040,176,80,"101",523,94,911,109
567,342,407,34,"Central Coast",324741,69,19098,639,244,1517,3566,299,1133,646,286876,1472,541,409,435,128,1138,194,2401,509,121,"102",730,137,887,418
180,202,218,24,"Central West",205462,149,7469,130,135,230,1658,83,863,152,179427,630,328,62,141,119,378,66,829,136,35,"103",200,34,327,92
154,85,94,12,"Coffs Harbour - Grafton",140189,138,7107,48,30,323,1764,62,1600,251,122051,401,171,25,216,37,263,22,540,64,10,"104",102,21,488,132
58,86,96,14,"Far West and Orana",116304,173,4161,60,53,86,829,25,926,65,99679,390,131,29,53,67,152,60,401,34,9,"105",109,8,174,42
269,221,393,49,"Hunter Valley exc Newcastle",262407,89,8346,129,131,387,1722,174,824,247,235707,840,207,66,180,63,382,53,875,84,54,"106",243,77,447,120
654,1290,212,6304,"Illawarra",292072,37,42222,385,985,2388,5744,495,1620,454,234029,1415,3087,548,451,192,4327,1709,4454,220,1227,"107",2066,86,1114,287
193,124,127,15,"Mid North Coast",213339,166,5820,86,68,310,1139,83,428,263,191877,485,163,72,268,12,312,46,564,64,23,"108",135,12,510,115
112,58,93,15,"Murray",116203,94,5370,58,67,116,989,37,1419,95,101131,407,112,13,134,65,429,52,434,36,13,"109",199,13,212,57
138,180,212,5,"New England and North West",182861,105,6822,208,24,145,1252,42,959,167,159308,829,391,16,118,89,214,43,993,69,19,"110",107,18,311,92
510,647,289,1634,"Newcastle and Lake Macquarie",355994,82,24265,597,361,889,4410,545,2128,524,313989,1420,889,71,327,334,1379,358,3713,227,80,"111",1075,373,837,285
347,157,145,18,"Richmond - Tweed",245284,149,10393,88,58,640,2174,104,785,674,213106,722,116,48,345,30,942,27,735,91,45,"112",203,37,1068,600
110,145,252,15,"Riverina",156610,82,11994,122,34,240,2696,39,2119,137,131374,878,371,21,88,145,2393,26,1111,40,135,"113",135,299,199,49
184,149,83,105,"Southern Highlands and Shoalhaven",145593,46,6721,54,213,352,1081,136,558,227,128574,423,155,118,180,16,626,92,726,62,36,"114",449,26,466,110
356,655,958,85,"Sydney - Baulkham Hills and Hawkesbury",228331,13,63268,3800,815,1678,4921,598,10189,497,155030,3338,3345,904,313,2225,2276,375,20213,553,453,"115",1197,32,725,333
534,1230,335,267,"Sydney - Blacktown",342180,35,139750,1876,1526,2999,20384,1109,44974,774,181162,22267,10258,2375,227,5228,1943,960,8882,646,2436,"116",1991,3792,588,192
7573,5076,225,647,"Sydney - City and Inner South",359100,82,114650,3603,689,5889,10831,795,6145,3088,174845,9812,3250,336,587,518,3632,884,35233,2574,1436,"117",6962,147,1655,2151
958,963,300,137,"Sydney - Eastern Suburbs",272166,58,68235,902,437,4390,10532,941,2234,3829,173570,4338,1577,245,520,189,3340,498,18082,3791,337,"118",5941,56,1935,1057
2512,24467,154,11325,"Sydney - Inner South West",577688,50,331584,4804,2467,6635,22176,1067,38955,1299,208251,14065,69212,744,191,895,8906,1735,78112,1547,1645,"119",34289,1461,891,1221
1761,3395,170,301,"Sydney - Inner West",295129,33,122876,9136,1077,3557,9687,864,12571,1229,150642,4006,6150,259,319,3239,13391,666,39887,877,964,"120",6689,111,907,985
1736,1377,1115,271,"Sydney - North Sydney and Hornsby",410350,21,116478,8187,823,3932,10276,1095,10492,2388,268302,4767,1795,46,842,1120,2847,448,47982,1880,336,"121",1548,48,2176,5119
657,478,524,140,"Sydney - Northern Beaches",251315,9,38079,841,747,2222,8796,463,2061,2242,198721,1760,490,40,949,88,3356,1158,5259,592,157,"122",980,77,2239,1128
633,1377,318,428,"Sydney - Outer South West",262177,45,56991,236,931,3562,8946,737,14617,617,190484,4716,6222,468,183,619,1599,630,3568,507,309,"123",1292,3503,510,124
550,609,176,339,"Sydney - Outer West and Blue Mountains",307370,61,39595,494,1110,1867,6842,659,6300,609,249573,4035,3364,1645,433,493,1656,424,2718,383,650,"124",1482,1131,878,240
1226,9985,167,326,"Sydney - Parramatta",457205,15,264530,14133,2179,4058,33684,1031,45664,798,156236,8971,47247,1564,209,11031,3584,1015,57574,1156,7928,"125",3243,1053,633,612
647,1079,207,192,"Sydney - Ryde",185633,8,81971,8517,484,1577,6828,420,7152,612,92536,3582,2402,105,199,1483,3131,394,37210,719,283,"126",1587,16,543,1038
