sa4_code_2021, median_tot_fam_inc_weekly, median_tot_prsnl_inc_weekly
"101",2013,797
"102",1954,727
"103",1898,738
"104",1541,637
"105",1787,743
"106",1925,733
"107",2109,753
"108",1421,591
"109",1780,724
"110",1719,702
"111",2129,793
"112",1700,682
"113",1898,776
"114",1722,683
"115",2893,988
"116",2252,833
"117",2887,1174
"118",3404,1296
"119",1972,706
"120",2757,1032
"121",3309,1218
"122",3131,1109
"123",2136,804
"124",2194,853
"125",2027,741
"126",2641,982
"127",1850,620
"128",2757,1017
"201",1800,705
"202",1864,729
"203",2100,787
"204",1798,734
"205",1636,653
"206",2833,1137
"207",2552,873
"208",2868,1022
"209",2198,807
"210",2031,732
"211",2257,816
"212",2004,745
"213",2077,786
"214",2076,780
"215",1658,688
"216",1663,679
"217",1768,715
"301",2245,837
"302",2385,932
"303",2309,875
"304",2790,969
"305",2968,1132
"306",1806,748
"307",1582,674
"308",2035,786
"309",2009,785
"310",1869,749
"311",1809,730
"312",2201,878
"313",1686,675
"314",2238,888
"315",1868,789
"316",1903,750
"317",1892,758
"318",2016,826
"319",1350,557
"401",2344,873
"402",1737,693
"403",2005,768
"404",2020,765
"405",1526,627
"406",1688,704
"407",1480,638
"501",1891,739
"502",1664,630
"503",3239,1144
"504",2164,846
"505",2302,871
"506",2139,821
"507",2298,871
"509",1757,718
"510",2795,1281
"511",2152,877
"601",1920,776
"602",1609,664
"603",1475,610
"604",1538,635
"701",2485,1120
"702",1407,539
"801",2872,1204
"901",1890,831
